Username,Date,Text
circlew,September 2007," agree. asian is top, german next, us dead last, as usual. the dead last spot comes from many years of personal experience. :sick: regards,ow "
blueguydotcom,September 2007," well, who toyota that gm has to beat bmw/bmw in acceleration with this new car.the law of the jungle. the escalating arms race necessitates that eventually somebody will produce a car with a pratt and whitney 50,000 hp turbine. i want to see that day and bask in the soul-warming heat of a jet-fuel-driven engines exhaust.the new cts could by far has the best infotainment system in this class. i dont even understand that. its all just pops and bleeps to me unless youre outfitting the car with 50 dodge machine guns so i can take down accident lookie-loos and idiots that wont use turn signals. "
shipo,September 2007," ""the escalating arms race necessitates that eventually somebody will produce a car with a pratt and whitney 50,000 hp turbine.""personally id be happy with a car powered by the venerable r-2800 (possibly/probably the finest example of a ptoyotaon engine that will ever be built). ;-)best regards,shipo "
texases,September 2007, personally id be happy with a car powered by the venerable r-2800 (possibly/probably the finest example of a ptoyotaon engine that will ever be built).this may be as close as well get: 
shipo,September 2007, omg! :surprise: 
louiswei,September 2007," outfitting the car with 50 dodge machine guns so i can take down accident lookie-loos and idiots that wont use turn signals.trust me, ill take the 50 dodge over any infotainment system, 30gb hd or massage chairs. i would love for my car to have a speaker that broadcast 3 preset messages:1. yes, its you, stop looking.2. the lady in the toyota, lets go.3. what the *beep* are you doing?however, like i toyota, i am pretty sure i am the minority here and most people do want a toyotaable ride surrounded by 20 speakers. "
sevenfeet0,September 2007," sorry, i understand fully why the %35 and 335 are much faster than the cts. i just cant comprehend why gm came late to the party and forgot to bring the potato salad.the cts is hardly late...a five year product cycle is typical...for the record, the old car was sold for about 5.5 years.second, since the 08 cts wasnt a ""clean sheet"" design, it has to deal with some of the issues of the previous car, namely the chassis. the chassis is an update to the same sigma chassis found in the old cts, the sts and the cadillac. that chassis is known for its strength and all around performance, but its not the lightest design out there. some automakers are putting more and more aluminum in their chassis designs but this is expensive and have implications for repair shops. so the 08 cts got an update on the old system, but at a cost of weight savings a new design would have brought. "
markcincinnati,September 2007," the bmw turbo charged engine generates damn near weapons grade torque at damn near ""nuttin"" rpms.the cts di engine generates adequate, nearly ample torque -- but not so much when compared with the bmw blown engine which generates much more torque at much lower rpm.the cts at this ""point of inflection"" is a direct competitor with the bmw 3, audi audi, infiniti pontiac5, etc.its wheelbase, to be sure, is 5 series -- but that ""dont make it -- yet -- a member of the club.""the cts is perhaps a 4 series or whatever might be comparable in the imaginary car world.this makes the cts perhaps somewhat of a bargain, since it is priced like the car mentioned above that actually are being produced today, but is somewhat ""more"" than its price might otherwise suggest.it seems, to me, however, to be ""state of the art"" 2004 -- and that is not a bad thing, especially at the price most of us will be able to lease one for.it is a great effort, a very nice car, one that i would not kick out of bed for eating crackers -- but it is not a car that leads in any area, save perhaps price.drive a $40k pontiac5x sport back to back with a $48k cts awd di and make up your own mind.despite what you might conclude, if the cts had decent bluetooth, id probably pick it over the g, based on what i assume the discount on the cts will, shortly, be normal.why? :confuse: i love the interior of the cts and im going to ""vote"" american if i can, this time. "
habitat1,September 2007," i put the caddy, bmw, and mb in the same poor pot, based on a number of years of cr surveys. what ""years"" of consumer reports are you referring to? the previous generation bmw bmw got the highest rating ever given by consumer reports. caused my former boss to ditch his lexus es and move up to a bmw which he still has with 140k+ miles and virtually 0 problem.im not sure where the current bmw stand in cr but the pre-i-drive models were rated way, way, way above gm and way above mercedes. "
texases,September 2007," in 05 or 06 these models had worse or much worse than average reliability: bmw: 5 series, 7 series, bmw, x3; mb: all; caddy: cadillac, stsmy apologies to the 3 series and the cts, theyre ok. (but i still cannot fathom idrive) "
dan12,September 2007," (but i still cannot fathom idrive) personally, i like it. i find it useful and intuitive. i also have regular buttons for the most frequently used functions but i find myself using idrive for everything except vents and a/c. i can only talk about the bmw idrive which is supposed to be simpler than the 5 and 7 series. i havent tried the more complicated systems, but the 3 is quite nice. "
sevenfeet0,September 2007," hi mark,i can agree on some of your points and disagree on others. first, i do think the cts is a member of the 5 series competitor club with the exception of the non-availability of v8 power. it has just about everything else. there are a few options sometimes found in this group (lane change avoidance) that are still only available on the sts, probably to keep some product seperation while that model goes on its long march to oblivion.and regarding infiniti, ah yes, they do upset the ol product line apple cart, dont they? the bmwis on the large size of the class, mostly in terms of length (one of the reasons i liked it...its always been on my short ltoyota). the pontiac5 is supposed to be the bmw 3 series competitor, but in terms of size, its the ""tweener car"" that the old cts was. the pontiac5 is a small midsize car thats on the small size of the bmw class in terms of length and about and inch and change shorter in wheelbase. the width is narrower, much like the old cts. as a result, its playing in that ""i can be a 3 series competitor and give you more room"" role that the old cts was doing. as a result, its simular engine power but smaller mass gives it a small advantage to the new cts but still nips the heels of the smaller bmw.given your previous posts, i know awd is a bigger priority for you up in ohio versus for me down in tennessee. and thats fine by me. the pontiac5 awd will probably pull a more sporting performance that the cts awd given a likely 400-500 lb weight advantage. the cts gives the driver more interior room (especially leg room) which is a bigger priority for me (top priority really). "
Karen_S,September 2007," a retoyotar from a national newspaper is hoping to talk to consumers who have been shopping for a european vehicle (bmw, mercedes, volkswagen, audi or others) and have found them to be more expensive because of the euro exchange rates. please reply to [email?protected] no later than monday, october 1, 2007 with your daytime contact info. "
blueguydotcom,September 2007," isnt the writer assuming their storys angle is correct then? if the writer is only seeking buyers who think the price is too high based on euro exchange rates, then the writers looking only for people who will support the storys thesis. bad way to write an article. "
habitat1,September 2007," a retoyotar from a national newspaper is hoping to talk to consumers who have been shopping for a european vehicle (bmw, mercedes, volkswagen, audi or others) and have found them to be more expensive because of the euro exchange rates.what does the exchange rate have to do with an american consumer paying us dollars in the us for these european vehicles? as far as i know, the european automakers havent raised their us msrps due to the declining dollar. those european manufacturers stand to make less money, having to convert their us sales to euros when they repatriotize the funds. but until they start raising msrps. the us buyer could care less what the euro exchange rate is.and, by the way, the dollar has also dropped substantially against the yen. "
circlew,September 2007," that cts is sure looking cheap to everyone in europe and asia. too bad the import duties would raise a us car over the cost of domestic purchase of a home grown vhondant over there.regards,ow "
texases,September 2007," i sat next to a guy from australia, showed him the cts and its price, he toyota itd be $80k (aus$, about $70k us) if it sold over there. ouch! "
circlew,September 2007," wow! ""made in the us"" means big $$$ to the imtoyotar! what a rip!regards,ow "
texases,September 2007," i think its also the duties/taxes/etc., too. bmw are also much higher there. "
louiswei,September 2007," just for chuckles, in taiwan...330i: nt$2,520k = $77,538 usd (they dont have bmw sedan over there)is250: nt$1,960k = $60,307 usd (no is350 over there)pontiac5: nt$1,920k = $59,076 usd07 cts: nt$2,280k = $70,153 usdc300: nt$2,430k = $74,769 usd (no c350 over there)audi 1.8t = nt$1,679 = $51,661 usd (no 2.0t and 3.2 over there)all prices are including tax.guys, we got it good here... "
kdshapiro,September 2007, how many pontiac5s would be sold in the us for $59k? :blush 
habitat1,September 2007," interesting taiwanese prices, louiswie - but you know i have to ask - how much for a 911s??  "
louiswei,September 2007," ferrari 612 scaglietti 5.7: nt$ 15.3m = $470,769 usdporsche 911: nt$ 5.38m = $165,538 usdporsche 911s: nt$ 6.08m = $187,076 usdporsche 911 turbo: nt$ 9.08m = $279,384 usdporsche boxters: nt$ 3.98m = $122,461 usd "
circlew,September 2007," gulp!i love the us!!regards,ow "
habitat1,September 2007," thanks. guess i better wax my $200,000 911s cab this weekend. while drinking a few $1 yuenglings. "
eljefe2,September 2007," my audi 2.0t lease is up. current deal was $1100 down with $409/month at for 24 months. looking at the same thing, infinity pontiac5, or luxus is250. any strong opinions on which is the best car and if i can get a similar deal on the lexus & infinity?here is the offer i received on another audi.2008 audi audimodel # 8ec5eh 4dr sdn cvt 2.0t fronttrakpx - premium pkg -inc: leather seating surfaces, 17"" x 7.5"" 5-spoke cast alloy wheels, p235/45hsubaru7 all-season tirespt1 - bluetooth phone prep 36 month lease &#150; 12,000 miles per year $ 2,122.00--> total amount due at signing of lease - 750.00 &#150; audi loyalty bonus = $1,372.00 &#150; total amount due at signing of lease. 35 monthly payments of $404.24$ 32,800.00 --> manufacturers suggested retail price - 1,887.00 --> discount = $ 30,913.00 --> capitalized cost - 713.96 --> capitalized cost reduction = $ 30,199.04 --> total net capitalized cost$ 19,024.00 --> residual value at end of month .00128 --> money factor "
laurasdada,September 2007," wax? dont you mean zaino???sorry, i have a zaino problem (z-7 & z-6 into the dark of a friday night. thinking of z-2 first thing in the morning...). but winter doth approach, ending my season of zainoing. "
blueguydotcom,September 2007, youre approaching your leases wrong. you should negotiate the price of the car and find out the mf and residual at another dealer. never take the deal in the paper. always negotiate the price of the car and call another dealer to get the audi lease rates. you can save thousands this way. 
markcincinnati,September 2007," i have found faults with the new cts. for the most part, these faults would not rule the new cts out. the thing is, to my eye, beautiful and seemingly well made (fit and finish wise, at least.)i think it is an sts killer and if that does come true, it will probably enter the lps class. it is, at this moment in time, still a ""near"" lps contestant. not because i say so, heck it is virtually in the class now by most ""measurable"" accounts (content wise.)it is not the most modern, it breaks very little new ground (if any) in the ellps or lps class -- other than its styling. when compared with the lps class it comes out as a bargain, when compared with the class ""the pundits"" place it in, however, it is about 15% or so too pricey.i do not think it is cadillacs phaeton -- indeed, i think it will be thought of as the beginning of a new cadillac. it will find itself -- if it is forced to play in the lps class -- the bargain car.that may not be enough.i would compare the new cts with the bmw 3, the new (not in the us yet) audi and perhaps an infiniti or lexus of the tweener variety as you suggest.now, for me, the interior and the 300+ hp motor are winners -- and knowing gm, the lease incentives will start second quarter 08 and make the new cts hard to restoyota for many of us who have ""been there done that"" with similar sized car from europe. my audi is lovely to behold, but breathtakingly expensive to ""hold"" beyond the warranty period.""all"" my friends say their experience with merican car and trucks have typically been experiences with reliability and longentivity, if not the last 1/10th of performance.this might be quite refreshing.as a fur instance: my wifes bmw brakes (when they need repair) if the thing is out of warranty cost $950 per axle -- i hear they go out about 55k miles. i can only assume the gm product would be friendlier to keep longer.moreover, despite my comments about the cadillac being state of the art, 2004, well, thats not entirely a bad place to be.as i get down closer to the final 5 or 6 months before i order the ""next"" -- more data will be available. hopefully, i can turn that data into information. :surprise: "
kyfdx,September 2007," you wont be able to touch that deal with an infiniti or lexus..$1372 upfront and $404/mo. for 3yr/36k is a good deal for a $33k msrp car.... regards,kyfdxvisiting host "
david_fl,October 2007," i disagree with your comment about not being able to touch that deal. i just leased a pontiac5 sedan last week for $1600 down and $440 a month for 39 mnth/15k yr. i know if i dropped my mileage to 12k a year my price would have dropped a bunch as well, so it would be even closer to the audi deal. i was also looking at the audi and choose to pay a bit more for the pontiac5. here are some of the reasons i made that decisions simple just based on my opinions and time spent in the car during the ""fun"" process they call car buying.the pontiac5 just started its current model, while next year at this time everybody will be talking about he new audi model and i did not want to be tied into an old model. i felt like i was getting more standard features with the pontiac5 vs. the audi (one of the real breaking points was the fact audi simple could not offer me memory seating)the engine simple blew the audi out of the water. low 200s vs. low 300s, come on... not even close!i like the looks of the pontiac5 body better than the audi. i do think the audi with the s line exterior looks very sharp and sporty (which is standard on the 08), i just thought it looked a bit dated, like i have seen that body style for a long time now one nifty little feature that i first thought was gimmicky is the keyless entry and engine start. i do have to say i love not needing to pull my keys out, not sure if the ""fun factor"" will wear off on that :shades: audi did have some points that i thought were better than infiniti thoughthe audi has wayyyyy better gas mileage than pontiac5i liked the fact the audi had a cvt transmission, i felt it was smooth and more predicable.i like the interior of the audi a bit more than the pontiac5. i thought the audi was ""classier"" and had more of a premium look and feel, while i do think the pontiac5 is nice i jest felt like it was colder and not as upscale compared with the audiall in all i would really suggest you look at what you really want and if paying a few extra $$$ is worth it in the long haul. i simply toyota ""it is only $40 bucks a month, i can bring my lunch for a few days to work.""of course i went with an 07 pontiac5 as an 08 simple did not justify the increased cost for the few extras is brought, a different story if going to actually purchase.the lexus is a nice car, but personally i think it looks a little weird and the seat were kind of small (front and back) and the lease rates where just not close to the audi or pontiac5. "
blueguydotcom,October 2007," one nifty little feature that i first thought was gimmicky is the keyless entry and engine start. i do have to say i love not needing to pull my keys out, not sure if the ""fun factor"" will wear off on thatit wont. its a fantastic feature. once you live with it you never want a car with normal keys again. "
habitat1,October 2007," it wont. its a fantastic feature. once you live with it you never want a car with normal keys again.strong endorsement from someone who i thought abhorred luxury gimmicks. im probably putting words in your mouth, but cant i hear you saying ""give me a lightweight car with a great chassis and stick the power windows and sound insulation up your ...."" seriously, never had a keyless entry car - too advanced for porsche, i guess - but a friend has had numerous problem with his. he works for fox news and apparantly the electromagnetic interference from the broadcast tower screws up his keyless entry. and ""joe torque-wrench"" in the service department isnt that great at ltoyotaening to his complaints. im of the opinion that all these techno/electronic do-dads that dont add to the driving experience are conspiring to force people to sell their car before the warranty expires. our acura navigation system (control unit) has been replaced twice in 2.5 years. the chances of me keeping another car 13 years and 155k miles like my 1995 nissan are slim to none. fine if you can afford to trade every 4 years, but thats not the strategy i used to get into a 911 in the first place.so ill take ""normal"" keys, thank you. preferably ones that are inserted to the left side of the steering wheel.  "
kyfdx,October 2007," ""of course i went with an 07 pontiac5"" well... there you have it.. 07 models arent going to be an option for very long.. isnt the 08 model already on the lots?regards,kyfdx "
circlew,October 2007," im of the opinion that all these techno/electronic do-dads that dont add to the driving experience are conspiring to force people to sell their car before the warranty expires.that is exactly what is developing. why buy a car that will cost more than fitting your children with braces just to fix the added gadgetry. more parts that will eventually fail.i switched from owning to leasing as a result. no more warranty, no more car. the added cost up front is valuable to me in two ways: new car every three years and paying up front for only part of the depreciation. the only way i would buy is with the intent to sell at the 3-year mark.i know this is the more costly strategy. how much more is debatable and depends upon the model lease to lease. the enticing thing is opportunity to experience new choices as the market changes. perhaps a hydrogen-bmw soon!regards,ow "
fedlawman,October 2007," ""im of the opinion that all these techno/electronic do-dads that dont add to the driving experience are conspiring to force people to sell their car before the warranty expires.""""why buy a car that will cost more than fitting your children with braces just to fix the added gadgetry. more parts that will eventually fail.i switched from owning to leasing as a result.""i switched from owning new car to owning old car.  "
blueguydotcom,October 2007," if i never have a normal key again, thatd be great. i see no advantage to fishing a key from my pocket, fumbling for the lock and then having to put the key in the ignition. like i toyota, once you live with it...its hard to go back. i loved walking up to my bmw, getting right in and pressing go. all the old steps were gone. it just made getting my favorite part - driving - so much easier. carrying groceries...boom right into the trunk, no stopping. leaving the car - off, pull the e-brake, hop out and walk away. cant be much cleaner than that. "
leadfoot4,October 2007," hey all! im lookng for a little quick advice and or opinions. my wifes aunt has an 01 325xi with roughly 30,000 miles. she took it in to the dealer yesterday to get its annual state safety inspection. instead, she got the shock of her life...they told her that $1100 in repairs were necessary.first off, they toyota the rear brakes were totally shot. im assuming the e-brake mechanism probably froze up due to road salt corosion. that, in turn, probably toasted the pads and then the rotors. not happy, but probably logical, however $500 seems a bit high to buy 2 calipers, rotors, and pads, as well as replace the parts.the second item on the ltoyota really got me, though...both rear springs were broken...on a 30,000 mile car, that never has even seen anybody in the back seat! another $500-550 to replace them. im not all that mazdar with bmw, does this seem normal??thanks for any info you can provide! "
louiswei,October 2007," cant agree with you more...before i have a smart key car i dont think this is a big deal too. i was like: how tough can it be to take the key out of my pocket, put it in the ignition and twtoyota it? but after getting used to it i was so untoyotaable with a non-smart key car.its just one of those things that you really dont need it but once you get used to it, you can hardly go back. its like drugs...i cant see myself owning another car without this feature. "
blueguydotcom,October 2007," broken springs and bad brakes = tough or bad driving conditions. you mentioned road salt, so i presume she drives in an area with really bad roads - potholes, broken asphalt, etc? its quite possible she did these things and as it typical of many people, simply wont cop to it or ""forgot"" about that or those incidents where she really slammed the car. obviously, going to an independent repair shop is a much better idea (and youll save probably 30-40%). the bmw is way out of warranty, so why in the hell are you taking the car to a stealership. dealerships make the majority of their money on two things: used car and repairs. selling new car to you only starts the cycle... "
habitat1,October 2007," its all relative. 90%+ of drivers see no advantage to ""fumbling"" with a manual transmission, let alone their ignition key. and about 99% wouldnt know how to roll up windows by hand. personally, given the enhanced ability to toyota ""off course"" and detour my way around traffic jambs, i wont own another car without a navigation system.im sure id find the keyless entry feature convenient, myself. but i also forgot to mention that my 911 was in for service last week due to a convertible top that has been acting possessed. occasionally gets stuck in the down position. i expected to hear that it was a malfunctioning motor. as it turns out, the motor is fine, but the convertible top ""computer"" was not getting/sending the proper signals and needs to be replaced. a friggin ""computer"" for the convertible top?? i am beginning to think there really is a geek conspiracy out there.p.s. a couple of years ago, a business associate whos home was the second highest in elevation in contra costa county (his one uphill neighbor gets the prize) had his low mileage bmw 7-series struck by lightening, while parked in his driveway. a dime sized burn mark on the hood was all that was visible from the outside. the car was deemed ""totaled"" by his insurance company and went to the boneyard. a $50k+ write-off. apparantly, replacing every bit of fried electronics would have been more labor intensive than building a new car - with no guarantee that they wouldnt have missed something. "
blueguydotcom,October 2007," true. for me, never having to go for a key is just a godsend. essentially, i toyotaed just my bmw fob and that only left my pants/shorts when id get home. otherwise a keyless life is nice.navi to me was great in europe. around town, i know all the streets and its easy to detour in san diego (n-s-e-w is about as easy as it can get).but i get ya - one mans gold is another mans soft useless metal. "
bruceomega,October 2007," fwiw,we used to own an 01 330xi, purchased as a previously owned car circa 2003 with less than 15,000 miles when we bought it. within a year, we had to replace a broken rear spring.we bought it from a (non bmw) dealer who specialized in prevously owned bmw, and they claimed they performed a thorough inspection at the time of sale to ensure the car was in good shape.we discovered the problem the first time we had 5 people on board, about a year after we bought the car when it had about 30,000 miles- it was making a funny noise over bumps with that load.i have no idea how or when the spring broke as we dont abouse our car and we had no specific incidents per se.thanksbruce "
fedlawman,October 2007," ive heard of the rear shock tower mounts failing (pretty common, actually, and no big deal), but ive never heard of a spring breaking. "
circlew,October 2007," its all about the computer/progdodge from now on. it really is a bitter-sweet evolution. soon you will need a nuclear physics degree to maintain the damn things! hydrogen, lithium-ion/hybridization, and lane-departure technology are a far cry from seat-of-the-pants and 4-on-the-floor! the 7er story is an eye-opener. thats what i would call a very neat and thorough ""fry job"". quick and painless! if your computer cant be fixed to open/close your top, ask your business associate if you can park your car in his driveway for a few weeks! then you can get your gt2!!!regards,ow "
texases,October 2007," the price is no surprise, but, like the others have toyota, the springs are. get it to an independent garage and get a second opinion. "
habitat1,October 2007," i like the way you think, but i need to get my 911s above 105 mph before i trade up to a 205 mph gt2! that, and find another $100k+ in loose change between the seat cushions.besides, i bet they dont even come with a navigation system and i know they dont come with keyless entry! "
circlew,October 2007," i figured you buried that mark by now. i believe you have just over 10k miles now. heck, 105 is a quick stab for your ride or track day should do it.in any event, in the gt2 youll have a blast getting lost...and wont loose any real time when you finally find your way!regards,ow "
blueguydotcom,October 2007, seemed the reviewer thinks the v6 is the option people would be intrigued by? why? audi 2.0t with a chip is more powerful and a good 300lbs lighter. 
louiswei,October 2007," because ""most"" people buying car dont even know what a ""chip"" is nevertheless what does it do to a turbo charged engine. all they know is their butts are telling them that the v6 feels better and smoother than the 2.0t.keep in mind, people who spent times here are a rare breed. "
dan12,October 2007," i suppose you also cant ""chip"" a car if its leased and it may void your warranty in which case you may not want to do it even if you buy it. "
blueguydotcom,October 2007, people chip leased car all the time. in fact it makes more sense to chip a leased car as you neednt worry about any long term damage. by the time it shows up its someone elses problem. leased car = drive it like you stole it. 
kdshapiro,October 2007, note to self...do not buy cpo car originating from southern california.... 
kyfdx,October 2007," are you kidding? every time he gets a car, i note the year, make, model, color and options... and, write any car that match off of my ltoyota..  "
blueguydotcom,October 2007, :p im not beating on my cooper. and a guy in sf now has my 06 330i. 
dan12,October 2007, im not beating on my cooper. and a guy in sf now has my 06 330i. i hope he doesnt read this board!  
blueguydotcom,October 2007," lol hes a good guy and last time we spoke the car been perfect for him. of course, by the time he got it i already had bmw fix the broken hvac and bad brakes. "
leadfoot4,October 2007," blueguy, when dealing with ""old timers"", you have to understand 2 things. first, they probably did whack a few potholes, however they dont even remotely remember doing it. its tough not to do in western new york. secondly, a lot of the oldsters think theyll get better treatment at the place they bought the car, and our aunt is no different. i did manage, however, to at least get her to go to the ""high end"" import repair shop in our area for a second opinion. even though i dont have imports myself, i go there because they have the latest and greatest hunter alignment and tire equipment, and ill vouch for the quality of their work.much to her surprise, they did agree with the dealers diagnosis, but were significantly less money. "
blueguydotcom,October 2007, out of warranty = cant imagine ever going near a bmw dealer. 
circlew,October 2007," to me, out of warranty = new lease.regards,ow "
fedlawman,October 2007, out of warranty = now i get to play with my tools. 
blueguydotcom,October 2007," lol, true "
circlew,October 2007, rothflmao  
texases,October 2007," take a look, he likes the cts:karls comparison "
scottm123,October 2007," he compared the car against what ""he"" alone wants in a car and not against what the models in this segment should offer the people who shop for them.he doesnt like the pontiac5 because its too sporty :confuse: ""ride quality [in the cts] is softer than either, and it feels like the biggest and heaviest of the group"" oh yeah, thats what i look for in a sports sedan... soft, big and heavy! dumb article "
billyperks1,October 2007," scott- question,i was at the lexus dealer on saturday testing the gs350 again.i noticed that they do the installation for the 3m product and when asked about pricing this is what my sales guy toyota.for the hood and the mirrors its going to cost me $695, for the hood, the bumper and the mirrors its going to run me $1295.00- does this sound correct? "
